handle,first_name,last_name,status,photo_url,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,igl,gender,country,primary_language,regions
Sacy,Gustavo,Rossi,active,http://static.lolesports.com/players/1691057996587_SEN_SACY.png,SEN,"sova, skye, fade",504,,250.5,1.3,,161.8,0.88,0.29,0.09,0.08,25%,13%,FALSE,Male,Brazil,Portuguese,na|sa
XMS,Alexandre,Forte,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,DVM,"omen, chamber, astra",2364,1.04,197.7,1.06,72%,131,0.72,0.22,0.08,0.08,30%,14%,FALSE,Male,FRANCE,French,eu
QutionerX,Doï¿½ï¿½ï¿½ï¿½,Dural,active,http://static.lolesports.com/players/1686714419439_EMEA_VCT23_20230318_BBL_QUTIONERX_FRENT.png,EF,"jett, raze, cypher",2653,1.09,236.1,1.12,71%,154,0.84,0.17,0.18,0.14,25%,15%,FALSE,Male,Turkey,Turkish,eu
falltw,Alexandr,Chernukhin,active,http://static.lolesports.com/players/1627382540824_placeholder.png,NXT,"omen, breach, viper",2740,0.97,202.6,0.96,70%,133.7,0.71,0.28,0.1,0.1,28%,15%,TRUE,Male,Russia,Russian,eu|mn
Brave,Eren,Kasï¿½ï¿½ï¿½ï¿½,active,http://static.lolesports.com/players/1686714402987_EMEA_VCT23_20230318_BBL_BRAVE_FRONT.png,EF,"omen, raze, sage",3500,0.99,210.9,1.01,71%,136,0.73,0.3,0.11,0.1,31%,15%,FALSE,Male,Turkey,Turkish,eu
Ego,Haozun,Yang,active,http://static.lolesports.com/players/1691058447856_Ego.png,GMX,"jett, kayo, raze",562,0.91,193.7,0.9,69%,125.5,0.68,0.24,0.11,0.13,26%,8%,FALSE,Male,Scotland,English,eu
nataNk,Nathan,Bocqueho,active,http://static.lolesports.com/players/1709342721537_M8nataNk-3.png,M8,"kayo, breach, sova",3288,1,202.8,0.95,71%,133.7,0.69,0.33,0.11,0.13,23%,19%,FALSE,Male,France,French,eu
vo0kashu,Ilia,Ushakov,active,http://static.lolesports.com/players/1707158301725_DRGvo0kashu.png,DRG,"cypher, killjoy, jett",3046,1.14,224.8,1.16,74%,147.5,0.79,0.26,0.1,0.09,27%,18%,FALSE,Male,Russia,Russian,eu
koldamenta,Jose Luis Aranguren,Herrero,active,http://static.lolesports.com/players/1627377379914_placeholder.png,KOI,"sova, astra, sage",5078,0.88,171.7,0.84,71%,111.9,0.57,0.36,0.06,0.08,22%,14%,TRUE,Male,Spain,Spanish,eu
Art1st,Vyacheslav,Lyadnov,active,http://static.lolesports.com/players/1627381113385_placeholder.png,EZ,"sage, sova, skye",3618,0.93,190.2,0.94,70%,123.6,0.66,0.32,0.08,0.08,29%,14%,FALSE,Male,Russia,Russian,eu
pAura,Melih ,Karaduran,active,http://static.lolesports.com/players/1627380180531_placeholder.png,S2G,"cypher, killjoy, sage",5616,0.88,190.4,0.95,68%,121.5,0.66,0.22,0.11,0.13,29%,15%,TRUE,Male,Turkey,Turkish,eu
Cloud,Kirill,Nehozhin,active,http://static.lolesports.com/players/1627382840058_placeholder.png,GX,"sova, skye, raze",5403,1.13,230.9,1.14,74%,151,0.8,0.29,0.12,0.1,29%,15%,TRUE,Male,Russia,Russian,eu
suygetsu,Dmitry,Ilyushin,active,http://static.lolesports.com/players/1691657334815__0007_NAVI_SUYGETSU_White_1500x1500_003.png,NAVI,"cypher, viper, killjoy",6538,1.09,206,1.15,74%,136,0.75,0.21,0.08,0.06,32%,15%,FALSE,Male,RUSSIA,Russian,eu
Fit1nho,Adolfo,Gallego,active,http://static.lolesports.com/players/1686714623643_EMEA_VCT23_20230320_GIA_FIT1NHO_FRONT.png,GX,"jett, raze, breach",5151,1.08,223.5,1.12,73%,141.6,0.78,0.21,0.17,0.14,24%,15%,FALSE,Male,Spain,Spanish,eu
Shao,Andrey,Kiprsky,active,http://static.lolesports.com/players/1686714056174_EMEA_VCT23_20230319_NAVI_SHAO_FRONT.png,NAVI,"sova, fade, sage",7206,1.16,214.3,1.22,76%,138.3,0.76,0.33,0.08,0.06,30%,19%,FALSE,Male,RUSSIA,Russian,eu
Reazy,Kaan,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýrpek,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,BBL,"sova, fade, sage",2851,1,196,0.98,72%,130.7,0.69,0.29,0.07,0.06,32%,16%,FALSE,Male,Turkey,Turkish,eu
ardiis,Ardis,Svarenieks,active,http://static.lolesports.com/players/1691657423886__0052_NRG_ardiis_White_1500x1500_006.png,NAVI,"sova, jett, chamber",5090,1.08,230.2,1.13,72%,146.9,0.79,0.3,0.13,0.1,21%,14%,FALSE,Male,Latvia,Latvian,eu|na
Jesse,Adam,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýtvrtnýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýek,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,BAR,"sova, omen, viper",4624,1.09,214.4,1.09,72%,140.5,0.76,0.3,0.1,0.09,30%,17%,FALSE,Male,Czechia,Czech,eu|oce
Sayf,Saif,Jibraeel,active,http://static.lolesports.com/players/1627377215076_placeholder.png,VIT,"jett, cypher, killjoy",6633,1.14,226.7,1.2,71%,146.4,0.81,0.21,0.13,0.11,23%,16%,FALSE,Male,Sweden,Swedish,eu
hastack,Sergio,Fernï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,GG,"killjoy, viper, cypher",709,0.98,193.8,0.91,68%,129.3,0.65,0.21,0.09,0.1,22%,11%,FALSE,Male,Spain,Spanish,eu
trexx,Nikita,Cherednichenko,active,http://static.lolesports.com/players/1643910165275_placeholder.png,VIT,"raze, sova, kayo",4502,1.15,234.9,1.16,75%,153.9,0.8,0.34,0.12,0.1,19%,16%,FALSE,Male,Russia,Russian,eu
hoody,Aaro,Peltokangas,active,http://static.lolesports.com/players/1627376515378_placeholder.png,GX,"sage, jett, skye",5790,1.06,216.6,1.08,73%,139.4,0.75,0.29,0.13,0.11,25%,12%,FALSE,Male,Finland,Finnish/Swedish,eu
vilczek,Robert,Ptok,active,http://static.lolesports.com/players/1648568698860_placeholder.png,ANM,"omen, sage, brimstone",3800,0.89,177.6,0.83,72%,115.4,0.59,0.34,0.07,0.09,23%,12%,FALSE,Male,POLAND,Polish,eu
bonkar,Malkolm,Rench,active,http://static.lolesports.com/players/1627377077116_placeholder.png,NRG,"sova, breach, cypher",4931,0.86,157.6,0.81,72%,102.6,0.54,0.35,0.05,0.07,17%,15%,FALSE,Male,SWEDEN,Swedish,eu
